S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,Deadline for Idea Submission
174,"Indian Space Research Organisation (ISRO)","Quantum Secure Email Client Application",Software,SIH25179,5/500,Blockchain & Cybersecurity,15 October 2025
175,"Ministry of Coal (MoC)","AI/ML based Auto Evaluation of R&D proposals received at NaCCER, CMPDI Ranchi",Software,SIH25180,0/500,Smart Automation,15 October 2025
176,"Ministry of Coal (MoC)","Intelligent Mobile Safety Companion for Mine Workers",Software,SIH25181,7/500,Smart Education,15 October 2025
177,"Ministry of Coal (MoC)","Smart PPE Compliance Monitoring and Reporting System for Underground Coal Mines",Hardware,SIH25182,3/500,Smart Automation,15 October 2025
178,"Ministry of Defence (MoD)","AI enabled cyber incident & safety web portal for defence.",Software,SIH25183,9/500,Blockchain & Cybersecurity,15 October 2025
179,"Ministry of Defence (MoD)","Secure closed group communication platform over exisiting public mobile communication networks for defence personnal and families.",Software,SIH25184,5/500,Blockchain & Cybersecurity,15 October 2025
180,"Ministry of Development of North Eastern Region (MoDoNER)","Al-Powered DPR Quality Assessment and Risk Prediction System for MDoNER",Software,SIH25185,1/500,Smart Automation,15 October 2025
181,"Ministry of Development of North Eastern Region (MoDoNER)","Design of a Sustainable, Low-Cost Geocell Road System for Landslide-Prone Rural Areas in North East India",Hardware,SIH25186,2/500,Disaster Management,15 October 2025
182,"Ministry of Steel (MoS)","Hot metal and Steel Ladle Tracking by auto capturing the Ladle numbers and display its location",Hardware,SIH25187,0/500,Smart Automation,15 October 2025
183,"Ministry of Steel (MoS)","Torpedo Ladle Container Position feedback and subsequent control of over tilting based on TLC balance Hot metal",Hardware,SIH25188,0/500,Smart Automation,15 October 2025
184,"Ministry of Power (MoP)","AI-Based Dynamic Contact Resistance Measurement (DCRM) Analysis for EHV Circuit Breakers",Software,SIH25189,1/500,"Renewable / Sustainable Energy",15 October 2025
185,"Ministry of Power (MoP)","AI-Driven Frequency Response Analysis for Transformer Diagnostics via Unified Multi-Format Software",Software,SIH25190,0/500,Clean & Green Technology,15 October 2025
186,"Ministry of Power (MoP)","Development of AI/ML enabled Digital Twin for EHV 400/220 kV Substation",Software,SIH25191,1/500,Smart Automation,15 October 2025
187,"Ministry of Power (MoP)","Predicting Project Costs and Timeline",Software,SIH25192,3/500,Smart Automation,15 October 2025
188,"Ministry of Power (MoP)","Forecasting materials demand with machine learning for supply chain planning, procurement, and inventory optimization.",Software,SIH25193,0/500,Smart Automation,15 October 2025
189,"Ministry of Power (MoP)","Intelligent Recommendation System for Personalized Individual Development Plans (IDPs)",Software,SIH25194,0/500,Smart Automation,15 October 2025
190,"Ministry of Power (MoP)","Smart Helpdesk Ticketing Solution for IT Services",Software,SIH25195,2/500,Smart Automation,15 October 2025
191,"Ministry of Home Affairs (MHA)","Surveillance during extreme weather condition",Hardware,SIH25196,3/500,Miscellaneous,15 October 2025
192,"Ministry of Home Affairs (MHA)","Al and ML enabled video analysis and interpretation",Software,SIH25197,7/500,Miscellaneous,15 October 2025
193,"Ministry of Home Affairs (MHA)","AI-based UFDR (Universal Forensic Extraction Device Report) Analysis Tool",Software,SIH25198,2/500,Smart Automation,15 October 2025
194,"Ministry of Skill Development and Entrepreneurship (MSDE)","AI-Powered Personalized Learning Path Generator",Software,SIH25199,14/500,Smart Education,15 October 2025
195,"Ministry of Skill Development and Entrepreneurship (MSDE)","Blockchain-Based Skill Credentialing System",Software,SIH25200,2/500,Smart Education,15 October 2025
196,"Ministry of Skill Development and Entrepreneurship (MSDE)","IoT & AI-Enabled Skill Training Equipment monitoring",Software,SIH25201,2/500,Smart Education,15 October 2025
197,"Ministry of Skill Development and Entrepreneurship (MSDE)","Micro-Credential Aggregator Platform",Software,SIH25202,1/500,Miscellaneous,15 October 2025
198,"Ministry of Skill Development and Entrepreneurship (MSDE)","AI-Powered Multilingual Content Localization Engine for Skill Courses",Software,SIH25203,4/500,Miscellaneous,15 October 2025
199,"Ministry of Earth Sciences (MoES)","Robotic Floating Hyperspectral Radiometer Platform for Monitoring Chlorophyll and Plastic Pollution in Aquatic Environments",Hardware,SIH25204,3/500,Smart Automation,15 October 2025
200,Government of Odisha,"Cybersecurity Framework for Rural Digital Banking",Software,SIH25205,8/500,Blockchain & Cybersecurity,15 October 2025
201,Ministry of Mines,"Application of EHS Simba drills for a safer, faster, and more efficient alternative to conventional pneumatic drilling in underground mining.",Hardware,SIH25206,0/500,Miscellaneous,15 October 2025
202,Government of Jammu and Kashmir,"Prashiskshan - An app for Academia Industry Interface",Software,SIH25207,5/500,Smart Education,15 October 2025
203,Ministry of Steel (MoS),"Design and develop an Al/ML-based Decision Support System for optimizing rake formation strategies for SAIL, with the initial implementation focused on movements from Bokaro Steel Plant to CMO stockyards and customer locations.",Software,SIH25208,1/500,Smart Automation,16 October 2025
204,Ministry of Steel (MoS),"Al-Enabled Logistics Optimizer for Cost-Optimal Vessel Scheduling and Port-Plant Linkage in Steel Supply Chain",Software,SIH25209,0/500,Transportation & Logistics,16 October 2025
205,Ministry of Steel (MoS),"Efficient Energy use in Iron Ore Mining Operations",Software,SIH25210,0/500,Miscellaneous,16 October 2025
206,Ministry of Home Affairs (MHA),"Development of a Virtual Reality (VR) Simulator for Training in Chemical Disaster Response",Hardware,SIH25211,1/500,Disaster Management,16 October 2025
207,Ministry of Home Affairs (MHA),"Structural Stability Assessment Tool for Collapsed Structures",Hardware,SIH25212,0/500,Disaster Management,16 October 2025
208,Ministry of Home Affairs (MHA),"Integrated Wearable Device for Real-Time Monitoring of Vital Parameters, Gas Exposure, and Fatigue",Hardware,SIH25213,3/500,Disaster Management,16 October 2025
209,Ministry of Home Affairs (MHA),"Development of Radar-Based Living Person Detection System for Use Under the Rubble",Hardware,SIH25214,7/500,Disaster Management,16 October 2025
210,AICTE,"Low-Cost Decentralized Smart Air Purification & Monitoring System for Delhi-NCR",Hardware,SIH25215,6/500,Clean & Green Technology,16 October 2025
211,AICTE,"AI-Driven Pollution Source Identification, Forecasting & Policy Dashboard for Delhi-NCR",Software,SIH25216,7/500,Clean & Green Technology,16 October 2025
212,Ministry of Defence (MoD),"Cognitive Opportunistic LEO-PNT Receiver System",Hardware,SIH25217,1/500,Space Technology,16 October 2025
213,Ministry of Science and Technology,"Screening Tool for Early Detection of Neurological Conditions",Hardware,SIH25218,2/500,MedTech / BioTech / HealthTech,17 October 2025
214,Ministry of Science and Technology,"Mobile-based EHR Companion for ASHA Workers in Low-Internet Areas",Software,SIH25219,8/500,MedTech / BioTech / HealthTech,17 October 2025
215,Ministry of Science and Technology,"Digital Contact Tracing and Screening Tool for MDR Pathogens in Hospitals",Software,SIH25220,1/500,MedTech / BioTech / HealthTech,17 October 2025
216,Ministry of Science and Technology,"VR + Eye-Tracking Solution to Capture Customer Reactions for EV Product Design",Hardware,SIH25221,0/500,Smart Vehicles,17 October 2025
217,Ministry of Science and Technology,"Digital Twin for CO₂ Capture in Urban Settings",Software,SIH25222,2/500,Clean & Green Technology,17 October 2025
218,Ministry of Science and Technology,"Rare-Earth-Free High-Efficiency Motors",Hardware,SIH25223,0/500,Clean & Green Technology,17 October 2025
219,Ministry of Science and Technology,"Stealth Coating for Defense Assets",Hardware,SIH25224,1/500,Robotics and Drones,17 October 2025
220,Ministry of Science and Technology,"Low-Cost Hydrogen Storage Cylinder",Hardware,SIH25225,2/500,Clean & Green Technology,17 October 2025
221,Ministry of Science and Technology,"AI Tool for Early-Stage Dementia Detection",Software,SIH25226,6/500,MedTech / BioTech / HealthTech,17 October 2025
222,Ministry of Science and Technology,"Cloudburst Early Warning and Alarm System",Hardware,SIH25227,3/500,Disaster Management,17 October 2025
223,National Technical Research Organisation (NTRO),"Cryptocurrency address collection and categorization system",Software,SIH25228,2/500,Blockchain & Cybersecurity,17 October 2025
224,National Technical Research Organisation (NTRO),"Identification of URL based attacks from IP data",Software,SIH25229,7/500,Blockchain & Cybersecurity,17 October 2025
225,National Technical Research Organisation (NTRO),"Identification and protection of Virtual Network Computing (VNC) based data exfiltration attacks.",Software,SIH25230,0/500,Blockchain & Cybersecurity,17 October 2025
226,National Technical Research Organisation (NTRO),"Design and build a multimodel Retrieval-Augmented Generation (RAG) system leveraging a Large Language Model (LLM) for OFFLINE mode that can ingest, index, and query diverse data formats such as DOC, PDF, Images and voice recordings within a unified semantic retrieval framework",Software,SIH25231,5/500,Smart Automation,17 October 2025
227,National Technical Research Organisation (NTRO),"Detection of Open Crust Mining Activity and 3D visualization",Software,SIH25232,1/500,Smart Automation,17 October 2025
228,National Technical Research Organisation (NTRO),"Automated Vulnerability Assessment and Penetration Testing tool for CCTV cameras & DVRs",Software,SIH25233,0/500,Smart Automation,17 October 2025
229,National Technical Research Organisation (NTRO),"Centralized Vulnerability Detection and Intelligent Query Interface",Software,SIH25234,0/500,Smart Automation,17 October 2025
230,National Technical Research Organisation (NTRO),"Portable log analysis tool for isolated network.",Software,SIH25235,2/500,Smart Automation,17 October 2025
231,National Technical Research Organisation (NTRO),"Application software to obfuscate the object file using Low Level Virtual Machine (LLVM)",Software,SIH25236,0/500,Blockchain & Cybersecurity,17 October 2025
232,National Technical Research Organisation (NTRO),"Multi-Platform System Hardening Tool",Software,SIH25237,0/500,Blockchain & Cybersecurity,17 October 2025
233,National Technical Research Organisation (NTRO),"Development of Threat rules in ELK Stack (Elasticsearch, Logstash, and Kibana) for detecting Advanced Persistent Threats (APTs).",Software,SIH25238,0/500,Blockchain & Cybersecurity,17 October 2025
234,National Technical Research Organisation (NTRO),"AI/ML-Based Identification of Cryptographic Primitives and Protocols in Multi-Architecture Firmware Binaries",Software,SIH25239,0/500,Blockchain & Cybersecurity,17 October 2025
235,National Technical Research Organisation (NTRO),"AI/ML based text-to-text machine translation from Nepalese and Sinhalese to English",Software,SIH25240,6/500,Heritage & Culture,17 October 2025
236,Ministry of Jal Shakti (MoJS),"Empowering Gram Panchayats to manage daily Operation & Maintenance (O&M) of Rural Piped Water Supply Systems using low-cost digital tools for routine monitoring.",Software,SIH25241,7/500,Clean & Green Technology,17 October 2025
237,Ministry of Defence (MoD),"Deep learning based ALM (Audio Language Model), which Listen, Think, and Understand the speech and non-speech Together.",Software,SIH25242,2/500,Smart Automation,17 October 2025
238,Ministry of Defence (MoD),"AI-Based Underwater Image Enhancement System for Increased Maritime Security.",Software,SIH25243,2/500,Smart Automation,17 October 2025
239,Ministry of Defence (MoD),"User and Entity Behaviour Analytics (UEBA) for internal threat identification",Software,SIH25244,4/500,Blockchain & Cybersecurity,17 October 2025
240,Ministry of Defence (MoD),"Automated Comprehensive Technology Intelligence and Forecasting Platform",Software,SIH25245,8/500,Smart Automation,17 October 2025
